nominal
s.x,s.y,m.mode,m.faults.low,m.faults.no_charge,m.faults.short,m.sub_faults,time
0.0,0.0,standby,False,False,False,False,0.0
1.0,0.0,standby,False,False,False,False,1.0
2.0,0.0,standby,False,False,False,False,2.0
3.0,0.0,standby,False,False,False,False,3.0
4.0,0.0,standby,False,False,False,False,4.0
5.0,0.0,standby,False,False,False,False,5.0
6.0,0.0,standby,False,False,False,False,6.0
7.0,0.0,standby,False,False,False,False,7.0
8.0,0.0,standby,False,False,False,False,8.0
9.0,0.0,standby,False,False,False,False,9.0
10.0,0.0,standby,False,False,False,False,10.0
11.0,0.0,standby,False,False,False,False,11.0
12.0,0.0,standby,False,False,False,False,12.0
13.0,0.0,standby,False,False,False,False,13.0
14.0,0.0,standby,False,False,False,False,14.0
15.0,0.0,standby,False,False,False,False,15.0
16.0,0.0,standby,False,False,False,False,16.0
17.0,0.0,standby,False,False,False,False,17.0
18.0,0.0,standby,False,False,False,False,18.0
19.0,0.0,standby,False,False,False,False,19.0
20.0,0.0,standby,False,False,False,False,20.0
21.0,0.0,standby,False,False,False,False,21.0
22.0,0.0,standby,False,False,False,False,22.0
23.0,0.0,standby,False,False,False,False,23.0
24.0,0.0,standby,False,False,False,False,24.0
25.0,0.0,standby,False,False,False,False,25.0
26.0,0.0,standby,False,False,False,False,26.0
27.0,0.0,standby,False,False,False,False,27.0
28.0,0.0,standby,False,False,False,False,28.0
29.0,0.0,standby,False,False,False,False,29.0
30.0,0.0,standby,False,False,False,False,30.0
31.0,0.0,standby,False,False,False,False,31.0
32.0,0.0,standby,False,False,False,False,32.0
33.0,0.0,standby,False,False,False,False,33.0
34.0,0.0,standby,False,False,False,False,34.0
35.0,0.0,standby,False,False,False,False,35.0
36.0,0.0,standby,False,False,False,False,36.0
37.0,0.0,standby,False,False,False,False,37.0
38.0,0.0,standby,False,False,False,False,38.0
39.0,0.0,standby,False,False,False,False,39.0
40.0,0.0,standby,False,False,False,False,40.0
41.0,0.0,standby,False,False,False,False,41.0
42.0,0.0,standby,False,False,False,False,42.0
43.0,0.0,standby,False,False,False,False,43.0
44.0,0.0,standby,False,False,False,False,44.0
45.0,0.0,standby,False,False,False,False,45.0
46.0,0.0,standby,False,False,False,False,46.0
47.0,0.0,standby,False,False,False,False,47.0
48.0,0.0,standby,False,False,False,False,48.0
49.0,0.0,standby,False,False,False,False,49.0
50.0,0.0,standby,False,False,False,False,50.0
51.0,0.0,standby,False,False,False,False,51.0
52.0,0.0,standby,False,False,False,False,52.0
53.0,0.0,standby,False,False,False,False,53.0
54.0,0.0,standby,False,False,False,False,54.0
55.0,0.0,standby,False,False,False,False,55.0
56.0,0.0,standby,False,False,False,False,56.0
57.0,0.0,standby,False,False,False,False,57.0
58.0,0.0,standby,False,False,False,False,58.0
59.0,0.0,standby,False,False,False,False,59.0
60.0,0.0,standby,False,False,False,False,60.0
61.0,0.0,standby,False,False,False,False,61.0
62.0,0.0,standby,False,False,False,False,62.0
63.0,0.0,standby,False,False,False,False,63.0
64.0,0.0,standby,False,False,False,False,64.0
65.0,0.0,standby,False,False,False,False,65.0
66.0,0.0,standby,False,False,False,False,66.0
67.0,0.0,standby,False,False,False,False,67.0
68.0,0.0,standby,False,False,False,False,68.0
69.0,0.0,standby,False,False,False,False,69.0
70.0,0.0,standby,False,False,False,False,70.0
71.0,0.0,standby,False,False,False,False,71.0
72.0,0.0,standby,False,False,False,False,72.0
73.0,0.0,standby,False,False,False,False,73.0
74.0,0.0,standby,False,False,False,False,74.0
75.0,0.0,standby,False,False,False,False,75.0
76.0,0.0,standby,False,False,False,False,76.0
77.0,0.0,standby,False,False,False,False,77.0
78.0,0.0,standby,False,False,False,False,78.0
79.0,0.0,standby,False,False,False,False,79.0
80.0,0.0,standby,False,False,False,False,80.0
81.0,0.0,standby,False,False,False,False,81.0
82.0,0.0,standby,False,False,False,False,82.0
83.0,0.0,standby,False,False,False,False,83.0
84.0,0.0,standby,False,False,False,False,84.0
85.0,0.0,standby,False,False,False,False,85.0
86.0,0.0,standby,False,False,False,False,86.0
87.0,0.0,standby,False,False,False,False,87.0
88.0,0.0,standby,False,False,False,False,88.0
89.0,0.0,standby,False,False,False,False,89.0
90.0,0.0,standby,False,False,False,False,90.0
91.0,0.0,standby,False,False,False,False,91.0
92.0,0.0,standby,False,False,False,False,92.0
93.0,0.0,standby,False,False,False,False,93.0
94.0,0.0,standby,False,False,False,False,94.0
95.0,0.0,standby,False,False,False,False,95.0
96.0,0.0,standby,False,False,False,False,96.0
97.0,0.0,standby,False,False,False,False,97.0
98.0,0.0,standby,False,False,False,False,98.0
99.0,0.0,standby,False,False,False,False,99.0
100.0,0.0,standby,False,False,False,False,100.0
