Step,Description,Complete?,Comment
1,Sync appropriate branches into release branch using `git sync-into-dev`,,
2,Run script run_all_tests.py and verify test results are appropriate,,
2a," ""Run full tests""",,
2b," ""Regenerate badge""",,
3,Update version numbers in appropriate files,,
3a," ""Check files conf.py LICENSE.py README.py Intro_to_fmdtools.md pyproject.toml __init__.py""",,
3b," ""Run a repository-wide search for the version number""",,
4,"Generate the documentation using ""./make html"" ",,
5,Commit changes.,,
6,Release to GitHub/remotes,,
6a," ""Release using ``git release "v2.x.x" "Version 2.x.x" `` """,,
6b," ""Push docs using ``git subtree split --prefix=_build/html --branch gh-pages``, ``git push -f public gh-pages`` ``git branch -D gh-pages``""",,
7,Create a release in GitHub,,
7a," ""incorporate a narrative summary of features and changes""",,
7b," ""incorporate the auto-generated bitbucket release notes.""",,
8," ""Update project plan""",,
8a," ""Include any changed dependencies""",,
8b," ""Include version in schedule""",,
8c," ""Identify and include additional changes/activities""",,
9,Update/check external CI resources as needed,,
9a," ""Toggle CodeFactor so it updates""",,
9b ," ""Check upload to PyPi""",,
